r,p,k,Set1,Set2,Set3
5,0.1,1,1.0,2.8,1.0
5,0.1,2,3.8,3.0,2.0
5,0.1,3,4.4,3.6,3.8
5,0.1,4,6.2,5.6,5.0
5,0.1,5,7.8,6.4,6.2
5,0.5,1,25.0,4.8,11.4
5,0.5,2,37.0,10.6,41.4
5,0.5,3,47.0,37.4,54.2
5,0.5,4,44.4,35.8,45.8
5,0.5,5,48.0,44.2,41.8
200,0.1,1,1.58,1.47,1.415
200,0.1,2,3.065,2.78,2.71
200,0.1,3,4.135,4.4,3.955
200,0.1,4,5.785,5.38,5.475
200,0.1,5,6.82,6.68,6.79
200,0.5,1,19.875,18.075,20.56
200,0.5,2,36.34,26.09,31.455
200,0.5,3,39.385,36.71,40.27
200,0.5,4,47.625,42.96,45.795
200,0.5,5,49.78,49.555,49.625
